location,time,ppi_dom_con,date
CZE,2004-01,89,Jan 2004
CZE,2004-02,89.1,Feb 2004
CZE,2004-03,89.2,Mar 2004
CZE,2004-04,89,Apr 2004
CZE,2004-05,89.2,May 2004
CZE,2004-06,89.5,Jun 2004
CZE,2004-07,90.3,Jul 2004
CZE,2004-08,90.4,Aug 2004
CZE,2004-09,90.4,Sep 2004
CZE,2004-10,91,Oct 2004
CZE,2004-11,91.1,Nov 2004
CZE,2004-12,91.1,Dec 2004
CZE,2005-01,91.2,Jan 2005
CZE,2005-02,91,Feb 2005
CZE,2005-03,91,Mar 2005
CZE,2005-04,90.8,Apr 2005
CZE,2005-05,90.4,May 2005
CZE,2005-06,90.5,Jun 2005
CZE,2005-07,90.4,Jul 2005
CZE,2005-08,90.4,Aug 2005
CZE,2005-09,90.2,Sep 2005
CZE,2005-10,90.2,Oct 2005
CZE,2005-11,90.1,Nov 2005
CZE,2005-12,89.6,Dec 2005
CZE,2006-01,89.8,Jan 2006
CZE,2006-02,89.9,Feb 2006
CZE,2006-03,89.7,Mar 2006
CZE,2006-04,89.5,Apr 2006
CZE,2006-05,89.5,May 2006
CZE,2006-06,89.5,Jun 2006
CZE,2006-07,90.2,Jul 2006
CZE,2006-08,90.5,Aug 2006
CZE,2006-09,90.6,Sep 2006
CZE,2006-10,90.7,Oct 2006
CZE,2006-11,89.9,Nov 2006
CZE,2006-12,89.8,Dec 2006
CZE,2007-01,90.3,Jan 2007
CZE,2007-02,90.6,Feb 2007
CZE,2007-03,90.6,Mar 2007
CZE,2007-04,90.9,Apr 2007
CZE,2007-05,91,May 2007
CZE,2007-06,91.3,Jun 2007
CZE,2007-07,91.8,Jul 2007
CZE,2007-08,92.3,Aug 2007
CZE,2007-09,92.5,Sep 2007
CZE,2007-10,93.2,Oct 2007
CZE,2007-11,94.9,Nov 2007
CZE,2007-12,95.9,Dec 2007
CZE,2008-01,96.1,Jan 2008
CZE,2008-02,96,Feb 2008
CZE,2008-03,95.8,Mar 2008
CZE,2008-04,94.9,Apr 2008
CZE,2008-05,94.8,May 2008
CZE,2008-06,95,Jun 2008
CZE,2008-07,95.5,Jul 2008
CZE,2008-08,95.9,Aug 2008
CZE,2008-09,96.2,Sep 2008
CZE,2008-10,95.8,Oct 2008
CZE,2008-11,95.6,Nov 2008
CZE,2008-12,95.5,Dec 2008
CZE,2009-01,95.4,Jan 2009
CZE,2009-02,95.1,Feb 2009
CZE,2009-03,94.7,Mar 2009
CZE,2009-04,94.8,Apr 2009
CZE,2009-05,94.6,May 2009
CZE,2009-06,94.2,Jun 2009
CZE,2009-07,94,Jul 2009
CZE,2009-08,93.9,Aug 2009
CZE,2009-09,93.8,Sep 2009
CZE,2009-10,93.5,Oct 2009
CZE,2009-11,93.5,Nov 2009
CZE,2009-12,93.5,Dec 2009
CZE,2010-01,93.5,Jan 2010
CZE,2010-02,92.7,Feb 2010
CZE,2010-03,92.3,Mar 2010
CZE,2010-04,91.7,Apr 2010
CZE,2010-05,91.6,May 2010
CZE,2010-06,91.9,Jun 2010
CZE,2010-07,92.2,Jul 2010
CZE,2010-08,92.1,Aug 2010
CZE,2010-09,92.1,Sep 2010
CZE,2010-10,92.4,Oct 2010
CZE,2010-11,92.8,Nov 2010
CZE,2010-12,93.1,Dec 2010
CZE,2011-01,94.2,Jan 2011
CZE,2011-02,94.4,Feb 2011
CZE,2011-03,94.7,Mar 2011
CZE,2011-04,95.7,Apr 2011
CZE,2011-05,97,May 2011
CZE,2011-06,97.3,Jun 2011
CZE,2011-07,97.4,Jul 2011
CZE,2011-08,97.4,Aug 2011
CZE,2011-09,97.4,Sep 2011
CZE,2011-10,97.8,Oct 2011
CZE,2011-11,98.2,Nov 2011
CZE,2011-12,98.6,Dec 2011
CZE,2012-01,99.5,Jan 2012
CZE,2012-02,99,Feb 2012
CZE,2012-03,99.1,Mar 2012
CZE,2012-04,99.1,Apr 2012
CZE,2012-05,98.9,May 2012
CZE,2012-06,99.1,Jun 2012
CZE,2012-07,99.2,Jul 2012
CZE,2012-08,99.2,Aug 2012
CZE,2012-09,99.5,Sep 2012
CZE,2012-10,100.5,Oct 2012
CZE,2012-11,100.9,Nov 2012
CZE,2012-12,100.6,Dec 2012
CZE,2013-01,101.3,Jan 2013
CZE,2013-02,100.9,Feb 2013
CZE,2013-03,100.9,Mar 2013
CZE,2013-04,100.7,Apr 2013
CZE,2013-05,100.7,May 2013
CZE,2013-06,100.8,Jun 2013
CZE,2013-07,101.3,Jul 2013
CZE,2013-08,101.4,Aug 2013
CZE,2013-09,101.7,Sep 2013
CZE,2013-10,101.7,Oct 2013
CZE,2013-11,101.7,Nov 2013
CZE,2013-12,101.7,Dec 2013
CZE,2014-01,102.8,Jan 2014
CZE,2014-02,102.7,Feb 2014
CZE,2014-03,102.4,Mar 2014
CZE,2014-04,102.3,Apr 2014
CZE,2014-05,102.4,May 2014
CZE,2014-06,101.9,Jun 2014
CZE,2014-07,102.3,Jul 2014
CZE,2014-08,102.1,Aug 2014
CZE,2014-09,101.9,Sep 2014
CZE,2014-10,101.3,Oct 2014
CZE,2014-11,100.9,Nov 2014
CZE,2014-12,100.5,Dec 2014
CZE,2015-01,100.5,Jan 2015
CZE,2015-02,100.4,Feb 2015
CZE,2015-03,100.3,Mar 2015
CZE,2015-04,100.5,Apr 2015
CZE,2015-05,100.2,May 2015
CZE,2015-06,100.1,Jun 2015
CZE,2015-07,100.3,Jul 2015
CZE,2015-08,99.9,Aug 2015
CZE,2015-09,99.7,Sep 2015
CZE,2015-10,99.6,Oct 2015
CZE,2015-11,99.4,Nov 2015
CZE,2015-12,98.9,Dec 2015
CZE,2016-01,99.1,Jan 2016
CZE,2016-02,98.8,Feb 2016
CZE,2016-03,98.1,Mar 2016
CZE,2016-04,97.8,Apr 2016
CZE,2016-05,97.7,May 2016
CZE,2016-06,97.5,Jun 2016
CZE,2016-07,97.8,Jul 2016
CZE,2016-08,98,Aug 2016
CZE,2016-09,98.6,Sep 2016
CZE,2016-10,99.2,Oct 2016
CZE,2016-11,99.5,Nov 2016
CZE,2016-12,99.6,Dec 2016
CZE,2017-01,100,Jan 2017
CZE,2017-02,99.8,Feb 2017
CZE,2017-03,99.6,Mar 2017
CZE,2017-04,100.3,Apr 2017
CZE,2017-05,100.7,May 2017
CZE,2017-06,101,Jun 2017
CZE,2017-07,101.3,Jul 2017
CZE,2017-08,101.7,Aug 2017
CZE,2017-09,101.8,Sep 2017
CZE,2017-10,101.9,Oct 2017
CZE,2017-11,101,Nov 2017
CZE,2017-12,100.8,Dec 2017
CZE,2018-01,100.6,Jan 2018
CZE,2018-02,99.9,Feb 2018
CZE,2018-03,100.2,Mar 2018
CZE,2018-04,100.1,Apr 2018
CZE,2018-05,100.4,May 2018
CZE,2018-06,100.7,Jun 2018
CZE,2018-07,100.9,Jul 2018
CZE,2018-08,101,Aug 2018
CZE,2018-09,101.1,Sep 2018
CZE,2018-10,101.5,Oct 2018
CZE,2018-11,101.6,Nov 2018
CZE,2018-12,101.4,Dec 2018
CZE,2019-01,102.3,Jan 2019
CZE,2019-02,102.7,Feb 2019
CZE,2019-03,102.7,Mar 2019
CZE,2019-04,103.3,Apr 2019
CZE,2019-05,104,May 2019
CZE,2019-06,104.2,Jun 2019
CZE,2019-07,104.4,Jul 2019
CZE,2019-08,104.5,Aug 2019
CZE,2019-09,104.7,Sep 2019
CZE,2019-10,105.1,Oct 2019
CZE,2019-11,105.4,Nov 2019
CZE,2019-12,106,Dec 2019
CZE,2020-01,107.3,Jan 2020
CZE,2020-02,106.4,Feb 2020
CZE,2020-03,106.8,Mar 2020
CZE,2020-04,107.8,Apr 2020
CZE,2020-05,106.8,May 2020
CZE,2020-06,106.2,Jun 2020
CZE,2020-07,106,Jul 2020
CZE,2020-08,106.1,Aug 2020
CZE,2020-09,105.9,Sep 2020
CZE,2020-10,105.9,Oct 2020
CZE,2020-11,106,Nov 2020
CZE,2020-12,105.6,Dec 2020
CZE,2021-01,105.5,Jan 2021
CZE,2021-02,105.3,Feb 2021
CZE,2021-03,105.4,Mar 2021
CZE,2021-04,106,Apr 2021
CZE,2021-05,106.2,May 2021
CZE,2021-06,106.9,Jun 2021
CZE,2021-07,107.3,Jul 2021
CZE,2021-08,107.9,Aug 2021
CZE,2021-09,108.1,Sep 2021
CZE,2021-10,108.7,Oct 2021
CZE,2021-11,109.6,Nov 2021
CZE,2021-12,110.1,Dec 2021
CZE,2022-01,112.5,Jan 2022
CZE,2022-02,114.9,Feb 2022
CZE,2022-03,117,Mar 2022
CZE,2022-04,120.5,Apr 2022
CZE,2022-05,123.6,May 2022
CZE,2022-06,125.9,Jun 2022
CZE,2022-07,127.4,Jul 2022
CZE,2022-08,128.2,Aug 2022
CZE,2022-09,130.2,Sep 2022
CZE,2022-10,132.9,Oct 2022
CZE,2022-11,134.2,Nov 2022
CZE,2022-12,134.6,Dec 2022
DNK,2000-01,67,Jan 2000
DNK,2000-02,67.2,Feb 2000
DNK,2000-03,66.8,Mar 2000
DNK,2000-04,67,Apr 2000
DNK,2000-05,67.4,May 2000
DNK,2000-06,67.6,Jun 2000
DNK,2000-07,68.9,Jul 2000
DNK,2000-08,68.6,Aug 2000
DNK,2000-09,70.3,Sep 2000
DNK,2000-10,69.2,Oct 2000
DNK,2000-11,67.9,Nov 2000
DNK,2000-12,68.5,Dec 2000
DNK,2001-01,69.3,Jan 2001
DNK,2001-02,69.9,Feb 2001
DNK,2001-03,72.2,Mar 2001
DNK,2001-04,72.7,Apr 2001
DNK,2001-05,73.1,May 2001
DNK,2001-06,73.6,Jun 2001
DNK,2001-07,73.9,Jul 2001
DNK,2001-08,71.5,Aug 2001
DNK,2001-09,70.4,Sep 2001
DNK,2001-10,70,Oct 2001
