iso,date,Storm
CHN,Jul 2000,1
CHN,Aug 2000,1
CHN,Sep 2000,1
CHN,Jan 2001,1
CHN,Mar 2001,1
CHN,Jun 2001,1
CHN,Jul 2001,1
CHN,Aug 2001,1
CHN,Sep 2001,1
CHN,Mar 2002,1
CHN,Jul 2002,1
CHN,Sep 2002,1
CHN,Dec 2002,1
CHN,Apr 2003,1
CHN,Jul 2003,1
CHN,Sep 2003,1
CHN,Nov 2003,1
CHN,Apr 2004,1
CHN,May 2004,1
CHN,Jun 2004,1
CHN,Aug 2004,1
CHN,Feb 2005,1
CHN,Mar 2005,1
CHN,Apr 2005,1
CHN,May 2005,1
CHN,Jun 2005,1
CHN,Jul 2005,1
CHN,Sep 2005,1
CHN,Oct 2005,1
CHN,Jan 2006,1
CHN,Apr 2006,1
CHN,May 2006,1
CHN,Jul 2006,1
CHN,Aug 2006,1
CHN,Oct 2006,1
CHN,Apr 2007,1
CHN,Jul 2007,1
CHN,Aug 2007,1
CHN,Sep 2007,1
CHN,Oct 2007,1
CHN,Apr 2008,1
CHN,Jun 2008,1
CHN,Jul 2008,1
CHN,Aug 2008,1
CHN,Sep 2008,1
CHN,Jun 2009,1
CHN,Aug 2009,1
CHN,Sep 2009,1
CHN,Oct 2009,1
CHN,Nov 2009,1
CHN,Jan 2010,1
CHN,May 2010,1
CHN,Jul 2010,1
CHN,Sep 2010,1
CHN,Oct 2010,1
CHN,Apr 2011,1
CHN,Jun 2011,1
CHN,Aug 2011,1
CHN,Sep 2011,1
CHN,Apr 2012,1
CHN,Jul 2012,1
CHN,Aug 2012,1
CHN,Oct 2012,1
CHN,Feb 2013,1
CHN,Mar 2013,1
CHN,Apr 2013,1
CHN,Jun 2013,1
CHN,Jul 2013,1
CHN,Aug 2013,1
CHN,Sep 2013,1
CHN,Oct 2013,1
CHN,Nov 2013,1
CHN,Feb 2014,1
CHN,Mar 2014,1
CHN,Apr 2014,1
CHN,Jun 2014,1
CHN,Jul 2014,1
CHN,Aug 2014,1
CHN,Sep 2014,1
CHN,Dec 2014,1
CHN,Mar 2015,1
CHN,Apr 2015,1
CHN,May 2015,1
CHN,Jun 2015,1
CHN,Jul 2015,1
CHN,Aug 2015,1
CHN,Sep 2015,1
CHN,Oct 2015,1
CHN,Nov 2015,1
CHN,Apr 2016,1
CHN,Jun 2016,1
CHN,Jul 2016,1
CHN,Aug 2016,1
CHN,Sep 2016,1
CHN,Oct 2016,1
CHN,Mar 2017,1
CHN,Apr 2017,1
CHN,May 2017,1
CHN,Jul 2017,1
CHN,Aug 2017,1
CHN,Jan 2018,1
CHN,Mar 2018,1
CHN,Jul 2018,1
CHN,Aug 2018,1
CHN,Sep 2018,1
CHN,Dec 2018,1
CHN,Jul 2019,1
CHN,Aug 2019,1
CHN,Sep 2019,1
CHN,Oct 2019,1
CHN,May 2020,1
CHN,Aug 2020,1
CHN,Oct 2020,1
CHN,Mar 2021,1
CHN,Apr 2021,1
CHN,May 2021,1
CHN,Jul 2021,1
CHN,Oct 2021,1
CHN,Nov 2021,1
CHN,Jul 2022,1
CHN,Jul 2023,1
CHN,Aug 2023,1
COD,Feb 2003,1
COD,Oct 2003,1
COD,Feb 2005,1
COD,Mar 2006,1
COD,Jan 2008,1
COK,Feb 1942,1
COK,Mar 1943,1
COK,Dec 1967,1
COK,Feb 1981,1
COK,Jan 1987,1
COK,Feb 1990,1
COK,Nov 1997,1
COK,Dec 2001,1
COK,Feb 2005,1
COK,Feb 2010,1
COL,Jan 1968,1
COL,Jun 1983,1
COL,Jul 1986,1
COL,Oct 1988,1
COL,Nov 1999,1
COL,Jun 2001,1
COL,Oct 2005,1
COL,Oct 2014,1
