location,time,ppi_tot_int,date
ESP,2005-11,81.7,Nov 2005
ESP,2005-12,81.9,Dec 2005
ESP,2006-01,82.9,Jan 2006
ESP,2006-02,83.4,Feb 2006
ESP,2006-03,84.1,Mar 2006
ESP,2006-04,84.9,Apr 2006
ESP,2006-05,85.7,May 2006
ESP,2006-06,86.1,Jun 2006
ESP,2006-07,86.7,Jul 2006
ESP,2006-08,86.9,Aug 2006
ESP,2006-09,87.2,Sep 2006
ESP,2006-10,87.9,Oct 2006
ESP,2006-11,87.9,Nov 2006
ESP,2006-12,88,Dec 2006
ESP,2007-01,88.8,Jan 2007
ESP,2007-02,89.6,Feb 2007
ESP,2007-03,90,Mar 2007
ESP,2007-04,90.6,Apr 2007
ESP,2007-05,91.2,May 2007
ESP,2007-06,91.4,Jun 2007
ESP,2007-07,91.4,Jul 2007
ESP,2007-08,91.4,Aug 2007
ESP,2007-09,91.3,Sep 2007
ESP,2007-10,91.5,Oct 2007
ESP,2007-11,91.4,Nov 2007
ESP,2007-12,91.3,Dec 2007
ESP,2008-01,92.5,Jan 2008
ESP,2008-02,93.7,Feb 2008
ESP,2008-03,94.3,Mar 2008
ESP,2008-04,94.8,Apr 2008
ESP,2008-05,95.4,May 2008
ESP,2008-06,95.9,Jun 2008
ESP,2008-07,97,Jul 2008
ESP,2008-08,97.5,Aug 2008
ESP,2008-09,97.3,Sep 2008
ESP,2008-10,96.3,Oct 2008
ESP,2008-11,94.3,Nov 2008
ESP,2008-12,92.4,Dec 2008
ESP,2009-01,91.3,Jan 2009
ESP,2009-02,91,Feb 2009
ESP,2009-03,90.6,Mar 2009
ESP,2009-04,90.1,Apr 2009
ESP,2009-05,89.7,May 2009
ESP,2009-06,89.6,Jun 2009
ESP,2009-07,89.7,Jul 2009
ESP,2009-08,90.2,Aug 2009
ESP,2009-09,90.2,Sep 2009
ESP,2009-10,90,Oct 2009
ESP,2009-11,89.9,Nov 2009
ESP,2009-12,90,Dec 2009
ESP,2010-01,90.6,Jan 2010
ESP,2010-02,91.1,Feb 2010
ESP,2010-03,91.9,Mar 2010
ESP,2010-04,93.7,Apr 2010
ESP,2010-05,94.7,May 2010
ESP,2010-06,95.1,Jun 2010
ESP,2010-07,94.9,Jul 2010
ESP,2010-08,95.8,Aug 2010
ESP,2010-09,96.1,Sep 2010
ESP,2010-10,96.3,Oct 2010
ESP,2010-11,97,Nov 2010
ESP,2010-12,97.8,Dec 2010
ESP,2011-01,99.7,Jan 2011
ESP,2011-02,100.9,Feb 2011
ESP,2011-03,101.3,Mar 2011
ESP,2011-04,102,Apr 2011
ESP,2011-05,102.3,May 2011
ESP,2011-06,102.2,Jun 2011
ESP,2011-07,102.3,Jul 2011
ESP,2011-08,102.1,Aug 2011
ESP,2011-09,101.9,Sep 2011
ESP,2011-10,101.4,Oct 2011
ESP,2011-11,101.1,Nov 2011
ESP,2011-12,100.7,Dec 2011
ESP,2012-01,101.4,Jan 2012
ESP,2012-02,102.1,Feb 2012
ESP,2012-03,102.7,Mar 2012
ESP,2012-04,103.1,Apr 2012
ESP,2012-05,103.3,May 2012
ESP,2012-06,103,Jun 2012
ESP,2012-07,102.8,Jul 2012
ESP,2012-08,103,Aug 2012
ESP,2012-09,103.3,Sep 2012
ESP,2012-10,103.2,Oct 2012
ESP,2012-11,103,Nov 2012
ESP,2012-12,103,Dec 2012
ESP,2013-01,103.2,Jan 2013
ESP,2013-02,103.3,Feb 2013
ESP,2013-03,103.3,Mar 2013
ESP,2013-04,102.7,Apr 2013
ESP,2013-05,102.4,May 2013
ESP,2013-06,101.9,Jun 2013
ESP,2013-07,101.6,Jul 2013
ESP,2013-08,101.3,Aug 2013
ESP,2013-09,101.2,Sep 2013
ESP,2013-10,100.9,Oct 2013
ESP,2013-11,100.7,Nov 2013
ESP,2013-12,100.5,Dec 2013
ESP,2014-01,100.7,Jan 2014
ESP,2014-02,100.4,Feb 2014
ESP,2014-03,100.1,Mar 2014
ESP,2014-04,100.3,Apr 2014
ESP,2014-05,100.4,May 2014
ESP,2014-06,100.5,Jun 2014
ESP,2014-07,100.6,Jul 2014
ESP,2014-08,100.5,Aug 2014
