location,time,ppi_tot_manufact_food,date
FIN,2008-08,89.5,Aug 2008
FIN,2008-09,90.1,Sep 2008
FIN,2008-10,90.5,Oct 2008
FIN,2008-11,90.5,Nov 2008
FIN,2008-12,90.4,Dec 2008
FIN,2009-01,91.3,Jan 2009
FIN,2009-02,90.9,Feb 2009
FIN,2009-03,90.2,Mar 2009
FIN,2009-04,90.3,Apr 2009
FIN,2009-05,90.4,May 2009
FIN,2009-06,90.4,Jun 2009
FIN,2009-07,90.2,Jul 2009
FIN,2009-08,89.9,Aug 2009
FIN,2009-09,89.5,Sep 2009
FIN,2009-10,88.9,Oct 2009
FIN,2009-11,89,Nov 2009
FIN,2009-12,89,Dec 2009
FIN,2010-01,89,Jan 2010
FIN,2010-02,89,Feb 2010
FIN,2010-03,88.8,Mar 2010
FIN,2010-04,88.8,Apr 2010
FIN,2010-05,89.1,May 2010
FIN,2010-06,89.2,Jun 2010
FIN,2010-07,88.8,Jul 2010
FIN,2010-08,88.8,Aug 2010
FIN,2010-09,88.8,Sep 2010
FIN,2010-10,89.7,Oct 2010
FIN,2010-11,89.9,Nov 2010
FIN,2010-12,90.3,Dec 2010
FIN,2011-01,90.7,Jan 2011
FIN,2011-02,91.6,Feb 2011
FIN,2011-03,92.5,Mar 2011
FIN,2011-04,92.9,Apr 2011
FIN,2011-05,94.4,May 2011
FIN,2011-06,95.2,Jun 2011
FIN,2011-07,95.8,Jul 2011
FIN,2011-08,95.7,Aug 2011
FIN,2011-09,96.2,Sep 2011
FIN,2011-10,96.5,Oct 2011
FIN,2011-11,97,Nov 2011
FIN,2011-12,96.8,Dec 2011
FIN,2012-01,97.2,Jan 2012
FIN,2012-02,98.3,Feb 2012
FIN,2012-03,98.7,Mar 2012
FIN,2012-04,98.8,Apr 2012
FIN,2012-05,99,May 2012
FIN,2012-06,99.2,Jun 2012
FIN,2012-07,99.6,Jul 2012
FIN,2012-08,99.6,Aug 2012
FIN,2012-09,99.8,Sep 2012
FIN,2012-10,100.1,Oct 2012
FIN,2012-11,100.3,Nov 2012
FIN,2012-12,100.5,Dec 2012
FIN,2013-01,100.8,Jan 2013
FIN,2013-02,101.4,Feb 2013
FIN,2013-03,102.1,Mar 2013
FIN,2013-04,102.1,Apr 2013
FIN,2013-05,102.4,May 2013
FIN,2013-06,102.5,Jun 2013
FIN,2013-07,102.6,Jul 2013
FIN,2013-08,102.4,Aug 2013
FIN,2013-09,101.9,Sep 2013
FIN,2013-10,101.8,Oct 2013
FIN,2013-11,101.6,Nov 2013
FIN,2013-12,101.5,Dec 2013
FIN,2014-01,101.3,Jan 2014
FIN,2014-02,101.3,Feb 2014
