location,time,ppi_tot_con,date
GRC,2009-10,96.7,Oct 2009
GRC,2009-11,96.4,Nov 2009
GRC,2009-12,96.5,Dec 2009
GRC,2010-01,96.4,Jan 2010
GRC,2010-02,96.5,Feb 2010
GRC,2010-03,96.4,Mar 2010
GRC,2010-04,96.3,Apr 2010
GRC,2010-05,95.8,May 2010
GRC,2010-06,95.7,Jun 2010
GRC,2010-07,95.7,Jul 2010
GRC,2010-08,95.9,Aug 2010
GRC,2010-09,95.9,Sep 2010
GRC,2010-10,95.9,Oct 2010
GRC,2010-11,96.1,Nov 2010
GRC,2010-12,96.3,Dec 2010
GRC,2011-01,96.3,Jan 2011
GRC,2011-02,96.7,Feb 2011
GRC,2011-03,97,Mar 2011
GRC,2011-04,97.2,Apr 2011
GRC,2011-05,97.1,May 2011
GRC,2011-06,97,Jun 2011
GRC,2011-07,97.1,Jul 2011
GRC,2011-08,97.3,Aug 2011
GRC,2011-09,97.8,Sep 2011
GRC,2011-10,97.9,Oct 2011
GRC,2011-11,98,Nov 2011
GRC,2011-12,98.1,Dec 2011
GRC,2012-01,98.2,Jan 2012
GRC,2012-02,98.3,Feb 2012
GRC,2012-03,98.4,Mar 2012
GRC,2012-04,98.3,Apr 2012
GRC,2012-05,98.3,May 2012
GRC,2012-06,98.2,Jun 2012
GRC,2012-07,98.4,Jul 2012
GRC,2012-08,98.5,Aug 2012
GRC,2012-09,98.7,Sep 2012
GRC,2012-10,98.8,Oct 2012
GRC,2012-11,98.8,Nov 2012
GRC,2012-12,98.9,Dec 2012
GRC,2013-01,99.2,Jan 2013
GRC,2013-02,99.3,Feb 2013
GRC,2013-03,99.4,Mar 2013
GRC,2013-04,99.7,Apr 2013
GRC,2013-05,99.8,May 2013
GRC,2013-06,100,Jun 2013
GRC,2013-07,100,Jul 2013
GRC,2013-08,100.1,Aug 2013
GRC,2013-09,100.1,Sep 2013
GRC,2013-10,100.1,Oct 2013
GRC,2013-11,100.2,Nov 2013
GRC,2013-12,99.9,Dec 2013
GRC,2014-01,99.9,Jan 2014
GRC,2014-02,99.9,Feb 2014
GRC,2014-03,99.9,Mar 2014
GRC,2014-04,100.1,Apr 2014
GRC,2014-05,100.1,May 2014
GRC,2014-06,100.1,Jun 2014
GRC,2014-07,100.1,Jul 2014
GRC,2014-08,100.2,Aug 2014
GRC,2014-09,100.2,Sep 2014
GRC,2014-10,100.2,Oct 2014
GRC,2014-11,100.4,Nov 2014
GRC,2014-12,100.3,Dec 2014
GRC,2015-01,99.3,Jan 2015
GRC,2015-02,99.3,Feb 2015
GRC,2015-03,99.6,Mar 2015
GRC,2015-04,99.8,Apr 2015
GRC,2015-05,99.9,May 2015
GRC,2015-06,99.9,Jun 2015
GRC,2015-07,100,Jul 2015
GRC,2015-08,100.3,Aug 2015
GRC,2015-09,100.6,Sep 2015
GRC,2015-10,100.5,Oct 2015
GRC,2015-11,100.5,Nov 2015
GRC,2015-12,100.1,Dec 2015
GRC,2016-01,100,Jan 2016
GRC,2016-02,99.9,Feb 2016
GRC,2016-03,99.9,Mar 2016
GRC,2016-04,99.9,Apr 2016
GRC,2016-05,99.9,May 2016
GRC,2016-06,100.1,Jun 2016
GRC,2016-07,100.2,Jul 2016
GRC,2016-08,100.3,Aug 2016
GRC,2016-09,100.2,Sep 2016
GRC,2016-10,100.2,Oct 2016
GRC,2016-11,100.3,Nov 2016
GRC,2016-12,100.1,Dec 2016
